iter	MultiClass
0	1.030150515
1	0.9797992702
2	0.9396608947
3	0.906900872
4	0.8816423954
5	0.8594414623
6	0.8408469446
7	0.8250973576
8	0.8116856424
9	0.7999780533
10	0.7889449004
11	0.7789582372
12	0.7712620063
13	0.7641781226
14	0.7581399816
15	0.7536871176
16	0.7488630077
17	0.7447587589
18	0.7407187293
19	0.7378331732
20	0.7350948096
21	0.7324203359
22	0.7304689357
23	0.7284845575
24	0.7261158003
25	0.7246228518
26	0.7233090308
27	0.7217886191
28	0.7208625762
29	0.7195069313
30	0.7184541026
31	0.71779495
32	0.7168038962
33	0.7158000185
34	0.7154229257
35	0.7146703112
36	0.7141977441
37	0.7137062869
38	0.7131598024
39	0.7125709813
40	0.7122482779
41	0.7120363884
42	0.7118145385
43	0.711327187
44	0.710824902
45	0.7103286579
46	0.7101290784
47	0.7099690046
48	0.7098910871
49	0.7097248149
50	0.7093465857
51	0.7092665322
52	0.7088998752
53	0.7087411838
54	0.7085390185
55	0.7083196567
56	0.7081326756
57	0.7080665984
58	0.7078120828
59	0.7077742607
60	0.70768628
61	0.7075933968
62	0.7075185089
63	0.7074290933
64	0.7073869337
65	0.7072852262
66	0.7072362878
67	0.7071019318
68	0.7070007721
69	0.706863723
70	0.7068309208
71	0.7068029071
72	0.7067856847
73	0.7067285893
74	0.7066884848
75	0.7066711144
76	0.7065287773
77	0.7064702459
78	0.7064444575
79	0.7062903124
80	0.706169556
81	0.7061359665
82	0.7061145294
83	0.7060709014
84	0.7060123649
85	0.7059788658
86	0.705929722
87	0.7058873699
88	0.7058701945
89	0.7058368879
90	0.7056444957
91	0.7055438813
92	0.7053721172
93	0.7053450631
94	0.7053105749
95	0.7051846299
96	0.7051557912
97	0.7051283583
98	0.705120238
99	0.7050972717
100	0.7050736508
101	0.7050571626
102	0.7050227657
103	0.7049422834
104	0.7049081535
105	0.7048922911
106	0.7048688987
107	0.7047611743
108	0.7046960542
109	0.7045886741
110	0.7045277662
111	0.7045030531
112	0.7044879853
113	0.7044538891
114	0.7044253728
115	0.7044075412
116	0.7043706769
117	0.7043635497
118	0.7043028453
119	0.7041959829
120	0.7041586852
121	0.704089464
122	0.7040657559
123	0.7039897297
124	0.7039603848
125	0.7039116539
126	0.7038636741
127	0.7038131725
128	0.7037832357
129	0.7037585555
130	0.7037033063
131	0.7036741869
132	0.7035816978
133	0.703545616
134	0.7035308559
135	0.7035181572
136	0.7034887436
137	0.7034532238
138	0.7033412397
139	0.7033271915
140	0.7032571312
141	0.7032353766
142	0.703100448
143	0.7030816984
144	0.7030568836
145	0.7030375023
146	0.7030003541
147	0.7029765274
148	0.7029211747
149	0.702898478
150	0.7027170426
151	0.70270287
152	0.7026203597
153	0.7025892997
154	0.7025271232
155	0.7025096856
156	0.7025008854
157	0.7024848369
158	0.702448592
159	0.7024205079
160	0.7023999597
161	0.702387984
162	0.7023606906
163	0.7023396447
164	0.7022578035
165	0.7022067772
166	0.7021310828
167	0.7021038445
168	0.7020798362
169	0.7020543761
170	0.7020159296
171	0.7019882608
172	0.7019732992
173	0.7019324098
174	0.7018766226
175	0.7017986909
176	0.7017336526
177	0.7017188252
178	0.701655167
179	0.7016292071
180	0.7016096077
181	0.7015860597
182	0.7015655562
183	0.7015488648
184	0.7015224566
185	0.7014947665
186	0.7014708431
187	0.701438989
188	0.7014235636
189	0.7013912363
190	0.701363926
191	0.7013439927
192	0.7013169771
193	0.7012884581
194	0.701276071
195	0.7012395494
196	0.7012036078
197	0.7011854425
198	0.7011630197
199	0.7011368774
200	0.7011159296
201	0.7010841957
202	0.7010318221
203	0.7009951383
204	0.7009429008
205	0.7009288021
206	0.700912248
207	0.700858257
208	0.7008184345
209	0.7008011406
210	0.7007867924
211	0.7007610364
212	0.7007370392
